fragmentarium_id,url,shelfmark,century,language,script,items,dimensions_mm,area_mm2,images,title,notes
F-c28h,https://fragmentarium.ms/overview/F-c28h,"Leuven, Rijksarchief te Leuven, Archief Oude Universiteit Leuven, nr. 2474",14th century,,Cursiva,2 strips,227 x 55 mm,12485,4,Unidentified text,One of the fragment shows some text and is part of a leaf; the other showing no text is probably the lower margin of an original bifolium. 
F-mc4a,https://fragmentarium.ms/overview/F-mc4a,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 86",14th century,Latin,Northern Textualis,1 bifolium (strip),62 x 201 mm (leaf),12462,2,Unidentified text on Roman law,
F-1sxr,https://fragmentarium.ms/overview/F-1sxr,"Odense, Syddansk Universitetsbibliotek, RARA Musik L 46",16th century,French,Printed,2 pieces,76 x 156 mm,11856,17,"St Cyprian, Sermon de la mortalité","Two pieces of an unidentified 16th century edition of a French translation of St Cyprian's sermon on mortality. Removed from the binding of RARA Musik L 42 R 128 and 129, two of a set of four music bo"
F-cjzj,https://fragmentarium.ms/overview/F-cjzj,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 63 Aa 6",14th century,Latin,Gothic Script (generic),1 leaf (part),119 x 98,11662,3,Unidentified text with gloss,
F-n8nv,https://fragmentarium.ms/overview/F-n8nv,"Leuven, KU Leuven Bibliotheken Bijzondere Collecties, Ms. 1317",15th century,Middle Dutch,Hybrid Script,2 bifolia (part of the same quire),135 x 85 mm (leaf),11475,4,Unidentified spritiual treatise,
F-ap52,https://fragmentarium.ms/overview/F-ap52,"Mechelen, Stadsarchief Mechelen, Verzameling van literaire fragmenten, Album II, voorlopig nr. 6/7",14th century,Latin,Northern Textualis,1 leaf (part),165 x 63 mm,10395,2,Unidentified Latin text,
F-ze3h,https://fragmentarium.ms/overview/F-ze3h,"Edinburgh, National Library of Scotland, Adv.MS.84.1.26",14th century,Latin,Northern Textualis,2 contiguous strips,137 x 72 mm (page),9864,4,Unidentified liturgical manuscript,
F-ijvj,https://fragmentarium.ms/overview/F-ijvj,"Gent, Universiteitsbibliotheek Gent, HS.2582/368",12th century,Latin,Praegothica,1 strip,209 x 47 mm,9823,2,Unidentified Latin text,This fragment was first reused as a frisket sheet before being recycled as a quire guard.
F-ho7z,https://fragmentarium.ms/overview/F-ho7z,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 45 Da 5/F1-3, MdS 45 Da 6/F1-3",14th century,Latin,Gothic Script (generic),6 spine strips,86 x 114 mm,9804,3,Unidentified text on confession  (virtual reconstruction),
F-4r0j,https://fragmentarium.ms/overview/F-4r0j,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 45 Da 6/F1-3",14th century,Latin,Gothic Script (generic),3 spine strips,86 x 114 mm,9804,8,Unidentified text on confession (non identified),
F-hjc4,https://fragmentarium.ms/overview/F-hjc4,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 181",14th century,Latin,Gothic Script (generic),1 leaf (trimmed),151 x 64 mm,9664,2,Unidentified Latin text,
F-3uad,https://fragmentarium.ms/overview/F-3uad,"Scherpenheuvel-Zichem, Abdij der Norbertijnen van Averbode, Archief, Sectie IV, hs. 431, 28",13th century,Latin,Northern Textualis,3 leaves (partial),"171 mm x 50 mm, 55 mm x 35 mm, 58 mm x 3",8550,5,Unidentified text,"These fragments were reused as binding material, and although they have been removed from the book, they remain in the physical condition in which they were found. That is, the fragments are joined to"
F-la3m,https://fragmentarium.ms/overview/F-la3m,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 63 Ea 7",14th century,Latin,Gothic Script (generic),1 leaf (part),99 x 86 mm,8514,3,Unidentified text with glosses,
F-0lqw,https://fragmentarium.ms/overview/F-0lqw,"Leuven, KU Leuven Bibliotheken Bijzondere Collecties, Ms. 1488",14th century,Middle Dutch,Northern Textualis,1 strip,39 x 216 mm,8424,2,"Unidentified chivalric romance, possibly Geraert van Viane",
F-iv5c,https://fragmentarium.ms/overview/F-iv5c,"Aarschot, Archief van de collegiale Onze-Lieve-Vrouwekerk, nr. 335",14th century,Latin,Cursiva,1 strip (in situ),313 x 25 mm,7825,2,Glosses to an unidentified scientific text,
F-fuvo,https://fragmentarium.ms/overview/F-fuvo,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 58 Ca 18/F2",14th century,Latin,Gothic Script (generic),1 spine strip,62 x 122 mm,7564,7,Unidentified latin grammar,
F-voqv,https://fragmentarium.ms/overview/F-voqv,"Leipzig, Universitätsbibliothek, Fragm. lat. 394",13th century,Latin,Northern Textualis,15 fragment pieces,39 x 193 mm,7527,3,Liturgica (unidentified),
F-8znq,https://fragmentarium.ms/overview/F-8znq,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 58 Ca 8/F1-4",14th century,Latin,Gothic Script (generic),4 spine strips,65 x 115 mm,7475,3,Unidentified religious text,
F-ja1n,https://fragmentarium.ms/overview/F-ja1n,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 16 Ga 8/F1-4",14th century,Latin,Gothic Script (generic),4 spine strips,70 x 99 mm,6930,3,Unidentified glosses on Decretum Gratiani,
F-wbbg,https://fragmentarium.ms/overview/F-wbbg,"Tübingen, Konviktsbibliothek Wilhelmsstift, KH 3985",12th century,Latin,Carolingian Minuscule Praegothica,"2 trimmed bifolia, in-situ (A and B)",A: 45 x 148; B: 45 x 142,6660,3,Neumed Easter dialogue and canonistic miscellany,"Together, the two fragments form a bifolium and are positioned directly one above the other (A above, B below).
Left leaf: fragment of an unidentified neumed Easter dialogue (Visitatio sepulchri), wi"
F-ss0e,https://fragmentarium.ms/overview/F-ss0e,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 237",11th century,Latin,Carolingian Minuscule,1 strip,200 x 33 mm,6600,2,Unidentified theological treatise | includes quotation of Jeremiah 3:1 (fol. [1]v),
F-ux7i,https://fragmentarium.ms/overview/F-ux7i,"Leuven, KU Leuven Bibliotheken Bijzondere Collecties, Ms. 1163",6th century 7th century 8th century 9th century 10th century,,,1 part,60 x 105 mm,6300,2,Unidentified text in Coptic,
F-g3zk,https://fragmentarium.ms/overview/F-g3zk,"Wien, Österreichische Nationalbibliothek, Cod. 2723",11th century,Latin,Carolingian Minuscule,1 strip,205 × ca. 30 mm,6150,6,Unidentified,
F-18n8,https://fragmentarium.ms/overview/F-18n8,"Leuven, KU Leuven Bibliotheken Bijzondere Collecties, Ms. 1033",14th century,Latin,Northern Textualis,2 strips,45 x 135 mm,6075,4,Unidentified Roman law text,The fragments were used as spine liner and were probably recovered from the same binding as the fragments now under Ms. 1032. Both fragments have the offset imprint of a twelfth-century liturgical man
F-x60p,https://fragmentarium.ms/overview/F-x60p,"Leuven, KU Leuven Bibliotheken Bijzondere Collecties, Ms. 1032",14th century,Latin,Northern Textualis,6 strips,80 x 75 mm,6000,12,"Unidentified Roman law text, with gloss",The fragments were used as spine liner and probably recovered from the same binding as the fragments now under Ms. 1033. Fragments 1032/2 and 1032/6 have the offset imprint of a twelfth-century liturg
F-vcgz,https://fragmentarium.ms/overview/F-vcgz,"Leuven, KU Leuven Bibliotheken Bijzondere Collecties, Ms. 1166",9th century 10th century,,,1 leaf (part),75 x 76 mm,5700,2,Unidentified text in Coptic,
F-m05m,https://fragmentarium.ms/overview/F-m05m,"Lugano, Biblioteca Salita dei Frati, BSF Inc. 30 (2)/F1",14th century,German,Northern Textualis,2 spine strips and other fragments,25 x 225 mm,5625,4,Unidentified spiritual prose text,
F-28bq,https://fragmentarium.ms/overview/F-28bq,"Lugano, Biblioteca Salita dei Frati, BSF Inc. 30 (1)/F1-2",14th century,German,Northern Textualis,2 spine strips,25 x 224 mm,5600,4,Unidentified spiritual prose text,
F-8wp3,https://fragmentarium.ms/overview/F-8wp3,"Gent, Universiteitsbibliotheek Gent, HS.2583/244",14th century,Latin,Northern Textualis,1 strip,139 x 40 mm,5560,2,Unidentified gloss,
F-1jo7,https://fragmentarium.ms/overview/F-1jo7,"Gent, Universiteitsbibliotheek Gent, HS.2582/403",13th century 14th century,Latin,Northern Textualis,1 strip,140 x 38 mm,5320,2,Unidentified theological text,
F-imyy,https://fragmentarium.ms/overview/F-imyy,"Scherpenheuvel-Zichem, Abdij der Norbertijnen van Averbode, Archief, Sectie IV, hs. 431, 32 b",13th century,Latin,Northern Textualis,1 strip,49 x 104 mm,5096,2,Unidentified theological text,
F-n5r2,https://fragmentarium.ms/overview/F-n5r2,"Wien, Österreichische Nationalbibliothek, Cod. 3647",13th century 14th century,Latin,Northern Textualis,1 strip,143 × 35 mm,5005,13,Unidentified,
F-cbfe,https://fragmentarium.ms/overview/F-cbfe,"Gubbio, Biblioteca comunale Sperelliana, III 38 D 18",12th century,Latin,Carolingian Minuscule,4 fragments,45 × 111; 96 × 44; 46 × 110; 53 × 108 mm,4995,1,Unidentified fragment in Latin,"Quattro ritagli in pergamena, con molta probabilità appartenuti alla stessa unità codicologica, riutilizzati come alette per l’indorsatura, in situ."
F-ne56,https://fragmentarium.ms/overview/F-ne56,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 127",15th century,Latin,Northern Textualis,1 strip,161 x 31 mm,4991,2,Unidentified liturgical manuscript | Mark 15:43-46 ; Psalm 68,
F-fzqt,https://fragmentarium.ms/overview/F-fzqt,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 152 a-b",12th century,Latin,Praegothica,2 strips,46 x 107 mm,4922,4,Unidentified theological text,
F-l6yp,https://fragmentarium.ms/overview/F-l6yp,"Gubbio, Biblioteca comunale Sperelliana, III 47 B 2",12th century,Latin,Carolingian Minuscule,2 fragments,39 × 123; 31 × 113 mm,4797,3,Unidentified fragments in Latin,"Quattro ritagli in pergamena reimpiegati come alette per l’indorsatura, in situ. Il I e IV frammento sono riferibili al XIV secolo, il II e III, di XII sec., appartenevano probabilmente alla medesima "
F-0h0g,https://fragmentarium.ms/overview/F-0h0g,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 128",13th century,Latin,Northern Textualis,1 strip,136 x 35 mm,4760,2,Unidentified canon law text,
F-isvn,https://fragmentarium.ms/overview/F-isvn,"Wien, Österreichische Nationalbibliothek, Cod. 3588",15th century,German,Cursiva,1 strip,ca. 45 x 100 mm,4500,2,Unidentified,
F-32om,https://fragmentarium.ms/overview/F-32om,"Leuven, KU Leuven Bibliotheken Bijzondere Collecties, Ms. 1169",11th century 12th century,,,1 strip,55 x 81 mm,4455,2,Unidentified religious text in Coptic | possibly the Annunciation,
F-0y54,https://fragmentarium.ms/overview/F-0y54,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 38 Ga 9",14th century 15th century,Latin,Gothic Script (generic),4 spine strips,47 x 92 mm,4324,6,"Unidentified commentary on Ieremias | XXXII, 35-41; XXXVI, 3-16.",
F-qycu,https://fragmentarium.ms/overview/F-qycu,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 418 a-b",15th century,Latin,Northern Textualis,2 strips,148 x 29 mm,4292,4,Unidentified Latin text,
F-hzbg,https://fragmentarium.ms/overview/F-hzbg,"Mechelen, Stadsarchief Mechelen, Verzameling van literaire fragmenten, Album II, voorlopig nr. 14/7",15th century,Latin,Cursiva,1 leaf (part),40 x 106 mm,4240,2,Unidentified text on logic,
F-gaff,https://fragmentarium.ms/overview/F-gaff,"Gent, Universiteitsbibliotheek Gent, HS.2582/400",14th century,Latin,Northern Textualis Cursiva Antiquior,1 strip,156 x 27 mm,4212,2,"Unidentified text in Latin, possibly on grammar, with gloss",
F-fw0f,https://fragmentarium.ms/overview/F-fw0f,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 364",13th century,Latin,Northern Textualis,1 leaf (part),29 x 145 mm,4205,2,Unidentified theological treatise,"Fol. [1]r, col. B has a quotation from Ecclesiasticus (24:29): 'Qui edunt me, adhuc esurient'."
F-f0ff,https://fragmentarium.ms/overview/F-f0ff,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 23 Ea 16/F1-4",14th century,Latin,Gothic Script (generic),4 spine strips,47 x 89 mm,4183,10,Unidentified comment on the Bible (?),
F-drrc,https://fragmentarium.ms/overview/F-drrc,"Wien, Österreichische Nationalbibliothek, Cod. 3546",13th century 14th century 15th century,Latin,Northern Textualis,1 strip of a folio,30 x 138 mm,4140,8,Unidentified music,
F-8plb,https://fragmentarium.ms/overview/F-8plb,"Mechelen, Stadsarchief Mechelen, Verzameling van literaire fragmenten, Album II, voorlopig nr. 8/7",14th century,Latin,Cursiva Antiquior,1 leaf (part),65 x 62 mm,4030,2,Unidentified Latin text,
F-j0wm,https://fragmentarium.ms/overview/F-j0wm,"Faido, Biblioteca del Convento dei Frati Cappuccini, Faido Rari 20/F3-5",15th century,Latin,,3 strips,20 x 200 mm,4000,5,Unidentified liturgical text,
F-wlir,https://fragmentarium.ms/overview/F-wlir,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 313",15th century,Latin,Cursiva,1 strip,137 x 29 mm,3973,2,Unidentified theological text,
F-uf5g,https://fragmentarium.ms/overview/F-uf5g,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 57 Aa 2",14th century,Latin,Cursiva Gothic Script (generic),4 spine strips,60 x circa 65 mm,3900,4,Unidentified text with comment,
F-t6bi,https://fragmentarium.ms/overview/F-t6bi,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 217",15th century,Latin,Cursiva,1 strip,27 x 141 mm,3807,2,Unidentified theological treatise,
F-lodh,https://fragmentarium.ms/overview/F-lodh,"Leipzig, Universitätsbibliothek, Fragm. lat. 367a",14th century,Latin,Northern Textualis,2 part from single leaf / leaves,92 x 40 mm,3680,8,Unidentified (probably Breviarium),
F-qyfp,https://fragmentarium.ms/overview/F-qyfp,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 182",15th century,Latin,Hybrid Script,1 strip,139 x 26 mm,3614,2,"Unidentified Latin text, possibly legal",
F-ypxa,https://fragmentarium.ms/overview/F-ypxa,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 315",14th century,Latin,Gothic Script (generic),1 strip,45 x 80 mm,3600,2,Unidentified canon law text,
F-cqa7,https://fragmentarium.ms/overview/F-cqa7,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 52 Aa 17/F1-4",14th century 15th century,Latin,Gothic Script (generic),4 spine strips,38 x 90 mm,3420,5,Unidentified philosophical text,
F-rxxv,https://fragmentarium.ms/overview/F-rxxv,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 95 b",13th century,Latin,Northern Textualis,1 strip,33 x 103 mm,3399,2,Unidentified theological text,
F-0h5j,https://fragmentarium.ms/overview/F-0h5j,"Wien, Österreichische Nationalbibliothek, Cod. 1695",14th century,German,Northern Textualis,pastedown (partial),135 x 25 mm,3375,6,Theological treatise (unidentified),
F-a07w,https://fragmentarium.ms/overview/F-a07w,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 140 a-b",13th century,Latin,Northern Textualis,"4 strips, 3 continguous strips attached ",139 x 24 mm,3336,4,Unidentified canon law text,
F-7zu3,https://fragmentarium.ms/overview/F-7zu3,"Gent, Universiteitsbibliotheek Gent, HS.1667/003",15th century,Middle Dutch,Northern Textualis,1 strip,102 x 31 mm,3162,2,Unidentified Middle Dutch manuscript,
F-33ow,https://fragmentarium.ms/overview/F-33ow,"Wien, Österreichische Nationalbibliothek, Fragm. 3b",12th century,Latin,Carolingian Minuscule,1 strip,210 x 15 mm,3150,3,Fragment (text unidentified),
F-1kdv,https://fragmentarium.ms/overview/F-1kdv,"Gent, Universiteitsbibliotheek Gent, HS.2583/243",14th century,Latin,Southern Textualis Northern Textualis,2 strips,28 x 112 mm,3136,4,"Unidentified legal text, with gloss",
F-3wqe,https://fragmentarium.ms/overview/F-3wqe,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 58 Ba 27",14th century,Latin,Gothic Script (generic),2 spine strips,38 x 80 mm,3040,3,Unidentified philosophical (?) text,
F-zy3b,https://fragmentarium.ms/overview/F-zy3b,"Mechelen, Stadsarchief Mechelen, Verzameling van literaire fragmenten, Album II, voorlopig nr. 15/7",14th century,Latin,Gothic Script (generic),1 leaf (part),35 x 85 mm,2975,2,Unidentified Latin text,"Both sides of the fragment are still covered with pasted-on waste paper, which largely obscures the writing."
F-xukl,https://fragmentarium.ms/overview/F-xukl,"Antwerpen, Ruusbroecgenootschap, Neerl. 413/21",15th century,Middle Dutch,Northern Textualis,4 strips (parts of two different leaves),84 x 35 mm,2940,4,Unidentified Middle Dutch text,
F-ukx6,https://fragmentarium.ms/overview/F-ukx6,"Leipzig, Universitätsbibliothek, Deutsche Fragmente 86a",13th century 14th century,German,Northern Textualis,2 strips from the same bifolium,12 x 243 mm,2916,8,"Meister Eckhart, Predigt zu In festo Philippi et Jacobi apostolorum (‚Von zweierlei Wegen‘) · Meister Eckhart ","Two strips from the same bifolium used as quire guards, and now detached. With text one one leaf identifiable as coming from Meister Eckhart's sermon ""von zweierlei Wegen"", and the other from an unide"
F-0df1,https://fragmentarium.ms/overview/F-0df1,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 27 Aa 17/F3-4",14th century,Latin,Gothic Script (generic),2 spine strips,39 x 71 mm,2769,5,Unidentified liturgical text,
F-es08,https://fragmentarium.ms/overview/F-es08,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 17 Ca 17/F4",14th century,Latin,Gothic Script (generic),1 spine strip,35 x 78 mm,2730,3,Unidentified text,
F-llvm,https://fragmentarium.ms/overview/F-llvm,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 260",,Latin,Gothic Script (generic),1 strip,55 x 44 mm,2420,2,Unidentified theological treatise,
F-ugvb,https://fragmentarium.ms/overview/F-ugvb,"Gubbio, Biblioteca comunale Sperelliana, II 20 F 18",11th century,Latin,Carolingian Minuscule,4 fragments,30 × 78; 30 × 75; 30 × 79; 30 × 77 mm,2340,2,Unidentified fragment in Latin,"Quattro piccole strisce in pergamena reimpiegate come alette per l’indorsatura del volume, mantenute in situ."
F-3h60,https://fragmentarium.ms/overview/F-3h60,"Gent, Universiteitsbibliotheek Gent, HS.2582/282",15th century,Middle Dutch,Hybrid Script,6 strips,29 x 78 mm,2262,12,"Unidentified Middle Dutch manuscript, possibly a religious text",
F-w8ii,https://fragmentarium.ms/overview/F-w8ii,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 41 Aa 13/F1-3",14th century,Latin,Gothic Script (generic),3 spine strips,38 x 59 mm,2242,6,Unidentified text,
F-ln58,https://fragmentarium.ms/overview/F-ln58,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 297 a-b",14th century,Latin,Northern Textualis,2 strips,68 x 32 mm,2176,4,Unidentified text,
F-x6c5,https://fragmentarium.ms/overview/F-x6c5,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 58 Ba 6/F2-6",13th century 14th century,Latin,Gothic Script (generic),4 spine strips,34 x 64 mm,2176,4,Unidentified religious text (?),
F-7x8n,https://fragmentarium.ms/overview/F-7x8n,"Mechelen, Stadsarchief Mechelen, Verzameling van literaire fragmenten, Album II, voorlopig nr. 17/7",14th century,Latin,Cursiva Northern Textualis,1 leaf (part),21 x 100 mm,2100,2,Unidentified text on logic,
F-3d30,https://fragmentarium.ms/overview/F-3d30,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 27 Aa 17/F1-2",14th century,Latin,Gothic Script (generic),2 spine strips,32 x 62 mm,1984,7,Unidentified text,
F-xja1,https://fragmentarium.ms/overview/F-xja1,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 266",14th century,Latin,Northern Textualis,1 strip,37 x 53 mm,1961,2,Unidentified text | with offset of other text,
F-faqs,https://fragmentarium.ms/overview/F-faqs,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 126",14th century,Latin,Northern Textualis,"1 bifolium (2 parts, restored)",59 x 32 mm,1888,2,Unidentified manuscript,
F-3l5z,https://fragmentarium.ms/overview/F-3l5z,"Antwerpen, Ruusbroecgenootschap, Neerl. 413/45",15th century,Middle Dutch,Northern Textualis,5 strips (3 part of same leaf),68 x 26 mm,1768,6,Unidentified Middle Duch text,
F-5nag,https://fragmentarium.ms/overview/F-5nag,"Leuven, Rijksarchief te Leuven, Archief abdij Sint-Bernardsdal te Diest, nr. 10850",,,,1 strip,26 x 60 mm,1560,3,Unidentified text,
F-srfk,https://fragmentarium.ms/overview/F-srfk,"Antwerpen, Ruusbroecgenootschap, Neerl. 413/43",15th century,Middle Dutch,Hybrid Script,5 strips,26 x 59 mm,1534,10,Unidentified Middle Dutch text,
F-ravu,https://fragmentarium.ms/overview/F-ravu,"Elbląg, Biblioteka Elbląska im. C. Norwida, SD.XVI.784 (inw. 302)",14th century,Middle Dutch,,5 stripes,15 x 100 mm,1500,1,Unidentified Middle Dutch text,Five parchment stripes containing fragments of an unidentified Dutch text used in a binding of a 16th cen. printed book held in the Elbląg Library (former Elbinger Gymnasiums-Bibliothek).
F-aj6w,https://fragmentarium.ms/overview/F-aj6w,"Mechelen, Stadsarchief Mechelen, Verzameling van literaire fragmenten, Album II, voorlopig nr. 11/7 bis",14th century 15th century,Latin,Northern Textualis,4 small fragments,36 x 40 mm,1440,7,Unidentified Latin texts,The four fragments may probably originally have been part of two or three different manuscripts.
F-t12t,https://fragmentarium.ms/overview/F-t12t,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 46 Aa 9",15th century 14th century,Latin,Northern Textualis,4 spine  strips,29 x 49 mm,1421,8,Unidentified religious text,
F-ib4j,https://fragmentarium.ms/overview/F-ib4j,"Gent, Universiteitsbibliotheek Gent, HS.2582/363",14th century,Latin,Cursiva Antiquior,2 fragments (parts of the same leaf),44 x 32 mm,1408,6,Unidentified Latin text,(Physics commentary?)
F-4wgy,https://fragmentarium.ms/overview/F-4wgy,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 26 Aa 3/F2-5",14th century,Latin,Gothic Script (generic),4 spine strips,27 x 45 mm,1215,3,Unidentified comment or gloss (?),
F-ut8r,https://fragmentarium.ms/overview/F-ut8r,"Mechelen, Stadsarchief Mechelen, Verzameling van literaire fragmenten, Album II, voorlopig nr. 8/7 bis",15th century 14th century,Latin,Northern Textualis Cursiva,3 small fragments,41 x 29 mm,1189,6,Unidentified Latin texts,The three fragments may originally have been part of two or three different manuscripts.
F-ijnc,https://fragmentarium.ms/overview/F-ijnc,"Leuven, KU Leuven Bibliotheken Bijzondere Collecties, Ms. 1167",9th century 10th century,,,1 strip,53 x 22 mm,1166,2,Unidentified text in Coptic,
F-3ga8,https://fragmentarium.ms/overview/F-3ga8,"Wien, Österreichische Nationalbibliothek, Cod. 1973",12th century 13th century,Latin,Gothic Script (generic),3 strips,sichtbar 40 x 25 mm,1000,7,Unidentified,
F-z34f,https://fragmentarium.ms/overview/F-z34f,"Bigorio, Biblioteca del Convento dei Frati Cappuccini Santa Maria, Big Inc. 14/F3-4",14th century 15th century,Latin,Gothic Script (generic),2 spine strips,45 x 20 mm,900,5,Unidentified text.,
F-nfi5,https://fragmentarium.ms/overview/F-nfi5,"Mechelen, Stadsarchief Mechelen, Verzameling van literaire fragmenten, Album II, voorlopig nr. 19/7",15th century,Latin,Cursiva,1 leaf (part),26 x 30 mm,780,2,Unidentified Latin text,
F-3qzb,https://fragmentarium.ms/overview/F-3qzb,"Amorgos, Monastery of Panagia Hozoviotissa, MS 11",,Greek,,One bifolium,,0,7,Unidentified | Different types of scripts on parchment,
F-qvgd,https://fragmentarium.ms/overview/F-qvgd,"Cambridge, MA, Harvard University, Houghton Library, MS Typ 270",15th century,German,Hybrid Script,1 leaf,,0,2,Unidentified poem on the passion addressed to Mary,"
The text is an unidentified poem on the passion, addressed to Mary. This leaf contains 42 lines on recto and verso. The German text is written in German littera bastarda in black ink, highlighted in"
F-t273,https://fragmentarium.ms/overview/F-t273,"Cambridge, MA, Harvard University, Houghton Library, MS Typ 704 (18)",12th century,Latin,Carolingian Minuscule,1 leaf,,0,2,"Homiliary | Maximus of Turin, Homilia XC De poenitentia et jejuniis Ninivitarum I, sermon on penitence, and Gr","
Written in a large Italian carolingian minuscule hand in black ink with red rubrics in two columns, 46 lines per column. The columns are 11-12 cm. wide, written area 43 x 26 cm.


There are two 6"
F-2vkc,https://fragmentarium.ms/overview/F-2vkc,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 38 Ga 12/F1-7",14th century,Latin,Gothic Script (generic),7 spine strips,h: 45 mm (frammenti non misurabili in la,0,3,Unidentified liturgical noted text,
F-r8ry,https://fragmentarium.ms/overview/F-r8ry,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 51 Da 20/F1-4",14th century,Latin,Gothic Script (generic),4 spine strips,,0,3,Unidentified glosses on a legal text (?),
F-5oah,https://fragmentarium.ms/overview/F-5oah,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 58 Ca 18/F2, MdS 58 Ca 19/F1-2",14th century,Latin,Gothic Script (generic),3 spine strips,,0,5,Unidentified latin grammar  (virtual reconstruction),"Virtual reconstruction of fragments contained in: Orselina, Madonna del Sasso (MdS) 58 Ca 18 and 58 Ca 19."
F-uvx5,https://fragmentarium.ms/overview/F-uvx5,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 58 Ca 19/F1-2",14th century,Latin,Gothic Script (generic),2 spine strips,,0,5,Unidentified latin grammar,
F-tbyv,https://fragmentarium.ms/overview/F-tbyv,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 58 Ca 20/F1-2",14th century,Latin,Gothic Script (generic),2 spine strips,,0,4,Unidentified text,
F-03xq,https://fragmentarium.ms/overview/F-03xq,"Oudenaarde, Stadsarchief Oudenaarde, Handschriften en Zeldzame Drukken, nr. 14",13th century,Latin,Northern Textualis,"1 leaf (trimmed, in situ)",,0,2,"Unidentified biblical commentary | John 3:16; Liber sapientiae, 24:23-29",
F-pleo,https://fragmentarium.ms/overview/F-pleo,"Wien, Österreichische Nationalbibliothek, Cod. 3596",,,,14 strips,,0,36,Unidentified (commentary),
