fragmentarium_id,url,shelfmark,century,language,script,items,dimensions_mm,area_mm2,images,title,notes
F-2u3k,https://fragmentarium.ms/overview/F-2u3k,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 38 Fa 32",16th century 11th century,Latin,Southern Textualis Carolingian Minuscule,1 leaf (trimmed),220 x 162 mm,35640,3,Unidentified commentary on the Psalms (?) / Credo,Palimpsest (?). The upper text has been written without completely erasing the lower text.
F-mfvu,https://fragmentarium.ms/overview/F-mfvu,"Toruń, Biblioteka Uniwersytecka, Rps 43/III",14th century,Latin,Cursiva,1 bifolium,120 x 295,35400,4,Unidentified legal treatise,"Parchment bifolium containing unidentified legal treatise ""covering"" the first 3 pages of the manuscript with the text by Ioannes de Lignano, Lectura super primo libro Decretalium Gregorii IX "
F-481s,https://fragmentarium.ms/overview/F-481s,"Scherpenheuvel-Zichem, Abdij der Norbertijnen van Averbode, Archief, Sectie IV, hs. 431, 33",15th century,Latin,Cursiva Northern Textualis,4 bifolia (trimmed),213 x 163 mm,34719,10,Unidentified philosophical texts,"This set consists of 2 trimmed doubleleaves (fragments 1-2) and a third trimmed doubleleaf (fragment 4) onto which two further fragments are pasted, which partially cover its outer leaves. Fragment 3 "
F-szlk,https://fragmentarium.ms/overview/F-szlk,"Antwerpen, Ruusbroecgenootschap, Lat. 13",15th century,Latin,Cursiva,1 bifolium,166 x 206 mm,34196,4,Unidentified spiritual treatise,
F-ndvo,https://fragmentarium.ms/overview/F-ndvo,"Leipzig, Universitätsbibliothek, Fragm. lat. 32",12th century,Latin,Northern Textualis,2 bifolia (partial),159 x 210 mm,33390,10,Logical text (unidentified),
F-l2v3,https://fragmentarium.ms/overview/F-l2v3,"St. Gallen, Stiftsbibliothek St. Gallen, Cod. Sang. 553",,Latin,Roman Uncial Script,1 offset (back),230 x 145 mm,33350,3,unidentified,"Host volume: Lives of the Irish saints and saints of St. Gall.
Fragment: offset of a text in capitalis hand style."
F-31tn,https://fragmentarium.ms/overview/F-31tn,"Odense, Syddansk Universitetsbibliotek, RARA K 219",14th century,Latin,Northern Textualis,1 partial leaf,153 x 212 mm,32436,7,Unidentified liturgical fragment,"Unidentified liturgical fragment with square notation. The text is damaged, possibly washed off. Re-used in the laced-case binding for a copy of Norske Kongers Krønicke oc bedrifft, indtil unge Kong H"
F-orcw,https://fragmentarium.ms/overview/F-orcw,"Gent, Universiteitsbibliotheek Gent, HS.2583/162",14th century,Latin,Cursiva,7 leaves (parts); 13 strips,160 x 201 mm,32160,40,Unidentified theological treatise,
F-l3a5,https://fragmentarium.ms/overview/F-l3a5,"Tübingen, Konviktsbibliothek Wilhelmsstift, Gh 135 (Fragment B)",15th century,Latin,Cursiva,"1 trimmed single leaf, in-situ",216 x 147,31752,2,Lectionarium officii,"Matins readings from Isaiah for Wednesday to Saturday in Advent (the week can no longer be determined due to the absence of a Sunday indication).
An unidentified liturgical fragment of the 12th centu"
F-01ku,https://fragmentarium.ms/overview/F-01ku,"Gent, Universiteitsbibliotheek Gent, HS.2583/073",15th century,Latin,Cursiva,1 leaf (trimmed),203 x 155 mm,31465,2,Unidentified theological text,"This fragment probably comes from the same manuscript as the fragments HS.2583/074, HS.2583/078 and HS.2583/084."
F-bcte,https://fragmentarium.ms/overview/F-bcte,"Gent, Universiteitsbibliotheek Gent, HS.0301",10th century,Latin,Carolingian Minuscule,1 leaf (trimmed),220 x 140 mm,30800,4,Unidentified computus text,
F-8srm,https://fragmentarium.ms/overview/F-8srm,"Wien, Österreichische Nationalbibliothek, Cod. 3614",14th century,Latin,,"1 trimmed single folio, 1 trimmed bifoli",Front Pastedown: 145 x 205 mm; Back Past,29725,12,Grammatica (unidentified),
F-opyx,https://fragmentarium.ms/overview/F-opyx,"Gent, Universiteitsbibliotheek Gent, HS.2582/182",14th century,Latin,Northern Textualis,4 leaves (including 2 half leaves),219 x 133 mm,29127,8,Unidentified theological text,The text discusses the nature of angels.
F-333n,https://fragmentarium.ms/overview/F-333n,"Frauenfeld, Kantonsbibliothek Thurgau, CL 6160",14th century 15th century,Latin,Hybrid Script,2 partial leaves,199 x 146 mm,29054,5,"Alexander of Hales, Summa Theologica; unidentified theological text | Summa Theologia, I, tract. II, q. 2","Two partial paper leaves from the same manuscript. The first contains Alexander of Hales' Summa Theologica, book I, tract. II, q. 2 (De distincitone et expositione articulorum symboli apostolorum), c."
F-pnkr,https://fragmentarium.ms/overview/F-pnkr,"Antwerpen, Ruusbroecgenootschap, Neerl. 35",14th century 15th century,Middle Dutch,Cursiva,2 bifolia,187 x 155 mm (leaf),28985,4,Unidentified Middle Dutch prose text,
F-516x,https://fragmentarium.ms/overview/F-516x,"Gent, Universiteitsbibliotheek Gent, HS.2583/182",15th century,Latin,Cursiva,1 bifolium,203 x 141 mm (page),28623,2,Unidentified theological treatise,
F-x3yo,https://fragmentarium.ms/overview/F-x3yo,"Gent, Bisschoppelijk Archief Gent, fragment nr. 17",,Latin,Hybrid Script,1 leaf,204 x 140 mm,28560,2,Table of contents of a lost or unidentified book,"A. Derolez has identified 23 surviving manuscripts of the library of the Augustian canons of St Leonard of Liège, but none of them matches the table on this fragment. Several items, however, strongly "
F-lwy7,https://fragmentarium.ms/overview/F-lwy7,"Gent, Universiteitsbibliotheek Gent, HS.2583/181",15th century,Latin,Cursiva,1 bifolium,201 x 142 mm,28542,2,Unidentified gloss | with quotations from the Exultet chant (fol. 1v),
F-8epz,https://fragmentarium.ms/overview/F-8epz,"Gent, Universiteitsbibliotheek Gent, HS.2583/074",15th century,Latin,Cursiva,1 bifolium (trimmed),200 x 142 mm,28400,2,Unidentified theological text,"This fragment probably comes from the same manuscript as the fragments HS.2583/073, HS.2583/078 and HS.2583/084."
F-cpn6,https://fragmentarium.ms/overview/F-cpn6,"Unknown, Current Location Unknown, Charles Edwin Puckett Rare Books IM-1516",15th century,French,Northern Textualis,1 leaf,195 x 142 (85 x 62) mm,27690,2,"Book of Hours (Use of Paris), ""The St. Alexius Hours"" | Calendar, February","""KL Ffeurier.../...S'Iust""
Calendar for the month of March, from a fifteenth-century Book of Hours known as the St. Alexius Hours. Written in northern France in the third quarter of the fifteenth cen"
F-xmrx,https://fragmentarium.ms/overview/F-xmrx,"Chicago, University of Chicago Hanna Holborn Gray Special Collections Research Center, Codex Ms 686",13th century,Latin,Gothic Script (generic),1 partial bifolium,194 x 142 mm,27548,2,Commentary on Luke,"Unidentified commentary on Luke. 1 parchment bifolium, with about 2/3 of one leaf and most of the other. Southern Germany?, 13th century?. Latin, semitextualis libraria. 194 mm x 142 mm. 2-line red in"
F-3oab,https://fragmentarium.ms/overview/F-3oab,"Wien, Österreichische Nationalbibliothek, Cod. 3604",15th century,Latin,Cursiva,2 single leaves,198 × 138 mm,27324,9,Text on logic (unidentified),
F-7nce,https://fragmentarium.ms/overview/F-7nce,"Utopia, armarium codicum bibliophilorum, Tra.MF.2019.09.01",14th century,Latin,Northern Textualis,1 bifolium (trimmed),140 x 195 mm,27300,3,Unidentified Tractatus de articulis fidei,"One bifolium, trimmed, of an unidentified tract on the Athanasian or Apostle's Creed, apparently reused as a pastedown and subsequently removed. Once part of the collection of Sigurd and Gudrun Wandel"
F-8zoy,https://fragmentarium.ms/overview/F-8zoy,"Paris, Bibliothèque nationale de France, Latin 9377",14th century,Latin,,2 partial bifolia,136 x 195 mm,26520,8,Sermones (unidentified),
F-tfms,https://fragmentarium.ms/overview/F-tfms,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 174 a-d",13th century,Latin,Northern Textualis,4 strips,182 x 145 mm,26390,8,Unidentified Latin text,
F-koak,https://fragmentarium.ms/overview/F-koak,"Antwerpen, Ruusbroecgenootschap, Neerl. 15/2",14th century,Middle Dutch,Northern Textualis,1 bifolium (2 fragments),85 x 310 mm,26350,4,"Unidentified Middle Dutch Charlemagne romance, presumably Wybeert van Andernaken",
F-mt26,https://fragmentarium.ms/overview/F-mt26,"Chicago, University of Chicago Hanna Holborn Gray Special Collections Research Center, PA6235.A2O9 1780 c.1",15th century 16th century,Latin,,2 leaves (partial),125 x 210 mm,26250,2,Unidentified music,Fragments of 15th- or 16th-century Hufnagelschrift music notation on paper used to make pasteboards. Removed from binding of C. Ivlii Caesaris Commentarii de bello Gallico et civili accedvnt libri de 
F-tpid,https://fragmentarium.ms/overview/F-tpid,"Brugge, Openbare Bibliotheek Brugge, Ms. 78",10th century,Latin,Carolingian Minuscule,2 strips,69 x 362 mm; 6 x 373 mm,24978,3,"The Bavarian homiliary | Winter part, no. 45 and other unidentified texts","The original position of the fragments is difficult to ascertain. Before fol. 145 there is a thin long strip visible that has been folded lengthwise, but which has a taller part towards the lower edge"
F-yjo1,https://fragmentarium.ms/overview/F-yjo1,"Odense, Syddansk Universitetsbibliotek, RARA Musik L 46",,Latin,Humanistic Cursive,1 piece,138 x 178 mm,24564,9,Text on etymology,"Unidentified text on etymology, possibly student notes. Removed from the binding of RARA Musik L 42 R 130, one of a set of four music booklets from the collection of Herlufsholm Skole, now held at the"
F-jnvq,https://fragmentarium.ms/overview/F-jnvq,"Gent, Universiteitsbibliotheek Gent, HS.2583/078",15th century,Latin,Cursiva,1 leaf (trimmed),204 x 118 mm,24072,2,Unidentified theological text,"This fragment probably comes from the same manuscript as the fragments HS.2583/073, HS.2583/074 and HS.2583/084."
F-gz7u,https://fragmentarium.ms/overview/F-gz7u,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 26 Aa 3/F1",12th century,Latin,Carolingian Minuscule,Leaf (part of),194 x 124 mm,24056,3,Unidentified notated liturgical text,Part of a leaf used to reinforce the margins of a guard-leaf in the host volume.
F-dr6y,https://fragmentarium.ms/overview/F-dr6y,"Gent, Universiteitsbibliotheek Gent, HS.2583/165",14th century,Latin,Northern Textualis,1 strip,208 x 107 mm,22256,2,"Unidentified gloss, possibly on a grammatical treatise",
